apr,nPaidOff,hasCF,isFraud,payFreq__B,payFreq__I,payFreq__M,payFreq__S,payFreq__W,fraud_rate_of_state,leadType_bvMandatory,leadType_california,leadType_express,leadType_instant-offer,leadType_lead,leadType_lionpay,leadType_organic,leadType_prescreen,leadType_rc_returning,leadType_repeat,clearfraudscore,past_loan_count,loanAmount_log,scheduledPayment_log,leadCost_log,past_paid_off_loan_amount_log
645.0,0.0,1,0,1,0,0,0,0,0.7457627118644068,0,0,0,0,1,0,0,0,0,0,736.0,0,6.2166061010848646,7.455599192346209,2.3978952727983707,0.0
360.0,0.0,1,0,0,0,0,0,1,0.4495592556317336,1,0,0,0,0,0,0,0,0,0,545.0,0,5.707110264748875,6.5094991238196425,1.3862943611198906,0.0
601.0,0.0,1,1,0,0,0,0,1,0.6419437340153452,1,0,0,0,0,0,0,0,0,0,710.0,0,6.398594934535208,7.512775915530235,1.9459101490553132,0.0
590.0,1.0,1,0,0,0,0,1,0,0.521505376344086,0,0,0,0,0,0,0,0,1,0,872.0,0,6.398594934535208,7.438589391206386,0.0,0.0
645.0,0.0,1,1,1,0,0,0,0,0.521505376344086,0,0,0,0,1,0,0,0,0,0,782.0,0,6.398594934535208,7.580291505637958,1.9459101490553132,0.0
645.0,0.0,1,1,0,0,0,1,0,0.75177304964539,0,0,0,0,1,0,0,0,0,0,783.0,0,6.55250788703459,7.396819838966524,2.3978952727983707,0.0
501.5,1.0,1,1,0,0,0,0,1,0.519916142557652,0,0,0,0,0,0,1,0,0,0,705.0,0,6.90875477931522,7.8893242583288625,0.0,0.0
590.0,0.0,1,0,1,0,0,0,0,0.65,1,0,0,0,0,0,0,0,0,0,708.0,0,6.55250788703459,7.621327442154618,2.3978952727983707,0.0
360.0,0.0,1,0,1,0,0,0,0,0.4495592556317336,1,0,0,0,0,0,0,0,0,0,818.0,0,6.2166061010848646,6.9051919965789725,1.9459101490553132,0.0
449.99,0.0,1,0,1,0,0,0,0,0.47190517998244075,0,0,0,0,1,0,0,0,0,0,905.0,0,6.55250788703459,7.135098001423612,4.330733340286331,0.0
449.99,1.0,1,0,1,0,0,0,0,0.47190517998244075,0,0,0,0,0,0,1,0,0,0,905.0,1,6.7464121285733745,7.220827281817325,0.0,6.55250788703459
580.0,3.0,0,0,1,0,0,0,0,0.4894851341551849,0,0,1,0,0,0,0,0,0,0,754.0160926875519,0,6.398594934535208,7.440322824866532,0.0,0.0
360.0,0.0,1,1,1,0,0,0,0,0.4495592556317336,1,0,0,0,0,0,0,0,0,0,575.0,0,5.786897381366708,6.593113024947573,1.3862943611198906,0.0
645.0,0.0,1,1,1,0,0,0,0,0.6852941176470588,0,0,0,0,1,0,0,0,0,0,816.0,0,6.398594934535208,7.6434637406261565,3.258096538021482,0.0
590.0,0.0,1,1,1,0,0,0,0,0.519916142557652,1,0,0,0,0,0,0,0,0,0,481.0,0,5.993961427306569,7.0117548690006215,1.3862943611198906,0.0
645.0,0.0,1,0,1,0,0,0,0,0.6852941176470588,0,0,0,0,1,0,0,0,0,0,939.0,0,7.601402334583733,8.78396465298466,3.258096538021482,0.0
359.0,0.0,1,1,1,0,0,0,0,0.833984375,0,0,0,0,1,0,0,0,0,0,934.0,0,7.496097345175956,8.133158796317868,3.258096538021482,0.0
490.0,0.0,1,0,1,0,0,0,0,0.6288659793814433,0,0,0,0,1,0,0,0,0,0,907.0,0,7.313886831633462,8.260637623756786,4.110873864173311,0.0
590.0,0.0,1,0,1,0,0,0,0,0.6610470275066548,1,0,0,0,0,0,0,0,0,0,649.0,0,6.398594934535208,7.430944161731526,1.3862943611198906,0.0
360.0,0.0,1,0,0,0,0,0,1,0.4495592556317336,1,0,0,0,0,0,0,0,0,0,691.0,0,6.68586094706836,7.480343700126359,2.3978952727983707,0.0
601.0,0.0,1,0,0,0,0,0,1,0.4894851341551849,1,0,0,0,0,0,0,0,0,0,589.0,0,6.398594934535208,7.512775915530235,1.3862943611198906,0.0
590.0,0.0,0,1,0,0,0,0,1,0.6971987550022232,1,0,0,0,0,0,0,0,0,0,606.318867763565,0,5.303304908059076,6.389737184634642,1.9459101490553132,0.0
590.0,0.0,1,0,1,0,0,0,0,0.5827067669172933,0,0,0,0,1,0,0,0,0,0,800.0,0,6.55250788703459,7.669747320075953,3.713572066704308,0.0
531.0,1.0,1,0,1,0,0,0,0,0.5827067669172933,0,0,0,0,0,0,1,0,0,0,800.0,1,6.90875477931522,7.894310606692268,0.0,6.55250788703459
590.0,0.0,1,0,0,0,0,0,1,0.519916142557652,1,0,0,0,0,0,0,0,0,0,718.0,0,6.68586094706836,7.853006575937237,1.3862943611198906,0.0
625.0,0.0,1,1,1,0,0,0,0,0.5827067669172933,0,0,0,0,1,0,0,0,0,0,622.0,0,5.860786223465865,7.009616679872055,2.3978952727983707,0.0
490.0,1.0,1,0,0,0,0,0,1,0.6288659793814433,0,0,0,0,0,0,1,0,0,0,853.0,0,6.90875477931522,7.919123436302695,0.0,0.0
590.0,1.0,1,1,1,0,0,0,0,0.6971987550022232,0,0,0,0,0,0,1,0,0,0,481.0,0,5.707110264748875,6.8209438819951735,0.0,0.0
680.0,0.0,1,1,1,0,0,0,0,0.6971987550022232,0,0,0,0,1,0,0,0,0,0,713.0,0,6.55250788703459,7.807880042891294,3.258096538021482,0.0
650.0,0.0,1,1,1,0,0,0,0,0.5827067669172933,1,0,0,0,0,0,0,0,0,0,577.0,0,5.860786223465865,7.108988543445397,1.9459101490553132,0.0
360.0,0.0,1,1,0,0,0,0,1,0.4495592556317336,1,0,0,0,0,0,0,0,0,0,627.0,0,6.2166061010848646,7.010609656898525,2.3978952727983707,0.0
590.0,0.0,1,0,0,0,0,0,1,0.5827067669172933,0,0,0,0,1,0,0,0,0,0,896.0,0,6.68586094706836,7.774738112685739,3.713572066704308,0.0
590.0,0.0,1,1,1,0,0,0,0,0.5827067669172933,1,0,0,0,0,0,0,0,0,0,628.0,0,6.398594934535208,7.573993642984865,1.3862943611198906,0.0
590.0,0.0,1,1,0,0,0,0,1,0.5827067669172933,1,0,0,0,0,0,0,0,0,0,692.0,0,6.803505257608338,7.90247264415403,2.3978952727983707,0.0
360.0,0.0,1,0,1,0,0,0,0,0.4495592556317336,1,0,0,0,0,0,0,0,0,0,668.0,0,5.860786223465865,6.539773799245626,2.3978952727983707,0.0
360.0,1.0,1,0,1,0,0,0,0,0.4495592556317336,0,0,0,0,0,0,1,0,0,0,668.0,1,5.707110264748875,6.385868707856721,0.0,5.860786223465865
360.0,2.0,1,0,1,0,0,0,0,0.4495592556317336,0,0,0,0,0,0,1,0,0,0,668.0,2,5.929589143389895,6.599448641535915,0.0,6.478509642208569
590.0,0.0,1,1,1,0,0,0,0,0.5827067669172933,0,0,0,0,1,0,0,0,0,0,824.0,0,6.2166061010848646,7.2639741189212526,4.330733340286331,0.0
360.0,0.0,1,0,0,0,0,0,1,0.4495592556317336,0,0,0,0,0,0,1,0,0,0,872.0,0,6.398594934535208,7.145038393850066,0.0,0.0
324.0,1.0,1,0,0,0,0,0,1,0.4495592556317336,0,0,0,0,0,0,1,0,0,0,872.0,1,6.803505257608338,7.487470568909592,0.0,6.398594934535208
525.0,0.0,1,1,1,0,0,0,0,0.6527777777777778,1,0,0,0,0,0,0,0,0,0,576.0,0,5.786897381366708,6.680842131660057,1.3862943611198906,0.0
590.0,0.0,1,1,0,0,0,0,1,0.6558966074313409,1,0,0,0,0,0,0,0,0,0,482.0,0,5.993961427306569,7.140326252179219,1.3862943611198906,0.0
360.0,0.0,1,0,0,0,1,0,0,0.4495592556317336,0,0,0,0,0,0,1,0,0,0,735.0,0,5.707110264748875,6.366075180620248,0.0,0.0
